Momentum (GeV/c),Theta (Deg),Eta,Delta p / p,DCA-rPhi [um],DCA-z [um]
0.9000,50.5690,0.750000,0.0039,36.83862,47.91556
0.9000,48.3920,0.800000,0.00397,38.63334,51.87132
0.9000,46.2850,0.850000,0.00403,40.60165,56.35797
0.9000,44.2500,0.900000,0.01606,48.21827,60.71819
0.9000,42.2870,0.950000,0.00478,45.16778,67.19787
0.9000,40.3950,1.000000,0.00521,48.88382,72.09095
0.9000,38.5740,1.050000,0.00558,51.70137,79.35013
0.9000,36.8220,1.100000,0.00599,54.78074,87.57825
0.9000,35.1390,1.150000,0.00642,58.14085,96.90007
0.9000,33.5240,1.200000,0.00689,61.80333,107.45944
0.9000,31.9750,1.250000,0.0074,64.45451,122.43315
0.9000,30.4890,1.300000,0.00597,68.62786,135.7268
0.9000,29.0670,1.350000,0.00635,73.2298,151.38396
0.9000,27.7050,1.400000,0.00676,78.23191,169.14379
0.9000,26.4020,1.450000,0.00719,83.66358,189.27859
0.9000,25.1570,1.500000,0.00765,89.55483,212.08919
0.9000,23.9660,1.550000,0.00814,95.95307,237.9764
0.9000,22.8290,1.600000,0.00628,103.68689,257.03087
0.9000,21.7430,1.650000,0.00664,110.7795,288.99371
0.9000,20.7060,1.700000,0.00703,118.38886,325.25284
0.9000,19.7160,1.750000,0.00744,126.38404,366.39668
0.9000,18.7720,1.800000,0.00816,133.19653,429.322
0.9000,17.8720,1.850000,0.00658,141.85806,465.42588
0.9000,17.0130,1.900000,0.00694,148.75214,525.57818
0.9000,16.1950,1.950000,0.00732,154.76393,593.75164
0.9000,15.4150,2.000000,0.00772,160.02161,671.13898
0.9000,14.6710,2.050000,0.00875,177.56703,935.29793
0.9000,13.9630,2.100000,0.0092,178.24313,1028.00622
0.9000,13.2880,2.150000,0.00967,178.91077,1133.81233
0.9000,12.6460,2.200000,0.01016,179.55037,1254.26691
0.9000,12.0330,2.250000,0.01069,180.48952,1391.93579
0.9000,11.4510,2.300000,0.01123,181.65906,1548.36092
0.9000,10.8960,2.350000,0.01181,182.43075,1726.82645
0.9000,10.3670,2.400000,0.01241,183.47592,1930.35025
0.9000,9.8640,2.450000,0.01304,184.88839,2161.84357
0.9000,9.3850,2.500000,0.01371,187.36976,2425.47832
0.9000,8.9290,2.550000,0.01441,191.47151,2725.58013
0.9000,8.4960,2.600000,0.01515,198.31568,3066.19617
0.9000,8.0830,2.650000,0.01729,253.10903,3709.87288
0.9000,7.6900,2.700000,0.01817,271.1245,4132.2531
0.9000,7.3160,2.750000,0.0191,292.80392,4612.96842
0.9000,6.9600,2.800000,0.02008,318.64547,5160.19602
0.9000,6.6210,2.850000,0.0211,348.67635,5783.39459
0.9000,6.2990,2.900000,0.02218,382.84512,6491.18754
0.9000,5.9920,2.950000,0.02331,422.29438,7298.00274
0.9000,5.7000,3.000000,0.02449,467.02187,8215.52687
1.0000,174.3000,-3.000000,0.02436,395.39562,7376.47972
1.0000,174.0080,-2.950000,0.02318,357.87504,6552.72288
1.0000,173.7010,-2.900000,0.02205,325.40234,5828.32643
1.0000,173.3790,-2.850000,0.02098,297.70725,5192.81101
1.0000,173.0400,-2.800000,0.01996,273.97588,4633.23232
1.0000,172.6840,-2.750000,0.01899,254.18818,4141.85502
1.0000,172.3100,-2.700000,0.01807,238.31669,3710.1917
1.0000,171.9170,-2.650000,0.01719,225.12828,3330.90404
1.0000,171.5040,-2.600000,0.01502,188.41303,2753.54398
1.0000,171.0710,-2.550000,0.0143,185.04439,2447.72499
1.0000,170.6150,-2.500000,0.0136,183.38253,2178.27463
1.0000,170.1360,-2.450000,0.01294,182.41248,1941.56136
1.0000,169.6330,-2.400000,0.01231,181.65804,1733.70307
1.0000,169.1040,-2.350000,0.01171,180.61065,1550.9552
1.0000,168.5490,-2.300000,0.01114,179.03977,1390.70478
1.0000,167.9670,-2.250000,0.0106,177.80151,1250.24282
1.0000,167.3540,-2.200000,0.01008,176.77915,1126.62098
1.0000,166.7120,-2.150000,0.00959,175.74212,1018.45517
1.0000,166.0370,-2.100000,0.00912,174.49851,923.44176
1.0000,165.3290,-2.050000,0.00868,172.88422,840.18859
1.0000,164.5850,-2.000000,0.00766,152.13004,602.59686
1.0000,163.8050,-1.950000,0.00726,145.7323,533.10382
1.0000,162.9870,-1.900000,0.00689,138.31837,471.88479
1.0000,162.1280,-1.850000,0.00653,128.80371,422.28111
1.0000,161.2280,-1.800000,0.00812,121.85634,384.95931
1.0000,160.2840,-1.750000,0.00741,114.64038,327.61917
1.0000,159.2940,-1.700000,0.007,107.20049,290.6836
1.0000,158.2570,-1.650000,0.00662,100.27084,258.1359
1.0000,157.1710,-1.600000,0.00626,93.81617,229.44807
1.0000,156.0340,-1.550000,0.00813,86.38034,212.89714
1.0000,154.8430,-1.500000,0.00764,80.64563,189.66185
1.0000,153.5980,-1.450000,0.00719,75.36566,169.19076
1.0000,152.2950,-1.400000,0.00676,70.49779,151.12405
1.0000,150.9330,-1.350000,0.00636,66.01496,135.19156
1.0000,149.5110,-1.300000,0.00598,61.89072,121.14874
1.0000,148.0250,-1.250000,0.00747,59.40536,106.70646
1.0000,146.4760,-1.200000,0.00697,55.83166,95.98126
1.0000,144.8610,-1.150000,0.0065,52.55173,86.51965
1.0000,143.1780,-1.100000,0.00607,49.54265,78.16991
1.0000,141.4260,-1.050000,0.00567,46.78501,70.80257
1.0000,139.6050,-1.000000,0.0053,44.26191,64.30533
1.0000,137.7130,-0.950000,0.00479,40.79075,59.73083
1.0000,135.7500,-0.900000,0.01686,44.26145,54.07012
1.0000,133.7150,-0.850000,0.00404,36.67126,50.02718
1.0000,131.6080,-0.800000,0.00397,34.8975,46.01203
1.0000,129.4310,-0.750000,0.00391,33.27958,42.4726
1.0000,127.1830,-0.700000,0.00385,31.80635,39.35238
1.0000,124.8670,-0.650000,0.00379,30.47015,36.60748
1.0000,122.4830,-0.600000,0.00374,29.26201,34.19573
1.0000,120.0340,-0.550000,0.00369,28.17525,32.08347
1.0000,117.5240,-0.500000,0.00365,27.20389,30.24168
1.0000,114.9550,-0.450000,0.00361,26.3416,28.64349
1.0000,112.3310,-0.400000,0.00358,25.58334,27.26696
1.0000,109.6560,-0.350000,0.00355,24.92453,26.09307
1.0000,106.9370,-0.300000,0.00352,24.36169,25.10661
1.0000,104.1770,-0.250000,0.0035,23.89091,24.29323
1.0000,101.3840,-0.200000,0.00348,23.50971,23.64253
1.0000,98.5620,-0.150000,0.00347,23.21547,23.14516
1.0000,95.7200,-0.100000,0.00346,23.00664,22.79483
1.0000,92.8640,-0.050000,0.00345,22.88183,22.58659
1.0000,90.0000,0.000000,0.00345,22.84026,22.48348
1.0000,87.1360,0.050000,0.00345,22.88182,23.16281
1.0000,84.2800,0.100000,0.00346,23.00661,23.37357
1.0000,81.4380,0.150000,0.00347,23.21543,23.72816
1.0000,78.6160,0.200000,0.00348,23.50967,24.23154
1.0000,75.8230,0.250000,0.0035,23.89087,24.88997
1.0000,73.0630,0.300000,0.00352,24.36165,25.71281
1.0000,70.3440,0.350000,0.00355,24.9245,26.71042
1.0000,67.6690,0.400000,0.00358,25.58333,27.89714
1.0000,65.0450,0.450000,0.00361,26.34163,29.28811
1.0000,62.4760,0.500000,0.00365,27.20398,30.90228
1.0000,59.9660,0.550000,0.00369,28.17542,32.76148
1.0000,57.5170,0.600000,0.00374,29.26229,34.89242
1.0000,55.1330,0.650000,0.00379,30.47056,37.32392
1.0000,52.8170,0.700000,0.00385,31.80692,40.08933
1.0000,50.5690,0.750000,0.00391,33.28034,43.23053
1.0000,48.3920,0.800000,0.00397,34.89849,46.79102
1.0000,46.2850,0.850000,0.00404,36.67251,50.82694
1.0000,44.2500,0.900000,0.01686,44.27077,54.73708
1.0000,42.2870,0.950000,0.00479,40.79272,60.56924
1.0000,40.3950,1.000000,0.00529,44.26326,64.92289
1.0000,38.5740,1.050000,0.00566,46.78542,71.44082
1.0000,36.8220,1.100000,0.00606,49.54212,78.82691
1.0000,35.1390,1.150000,0.00649,52.55032,87.19341
1.0000,33.5240,1.200000,0.00696,55.82941,96.66983
1.0000,31.9750,1.250000,0.00747,59.40233,107.40802
1.0000,30.4890,1.300000,0.00598,61.89484,122.07041
1.0000,29.0670,1.350000,0.00636,66.01953,136.12094
1.0000,27.7050,1.400000,0.00676,70.50278,152.05961
1.0000,26.4020,1.450000,0.00719,75.37103,170.13118
1.0000,25.1570,1.500000,0.00764,80.65134,190.60599
1.0000,23.9660,1.550000,0.00813,86.38635,213.84406
1.0000,22.8290,1.600000,0.00625,93.81722,230.96066
1.0000,21.7430,1.650000,0.00662,100.27131,259.65592
1.0000,20.7060,1.700000,0.007,107.20048,292.20932
1.0000,19.7160,1.750000,0.00741,114.64264,329.14915
1.0000,18.7720,1.800000,0.00812,121.85791,385.59327
1.0000,17.8720,1.850000,0.00653,128.80465,422.11317
1.0000,17.0130,1.900000,0.00689,138.31914,472.02558
1.0000,16.1950,1.950000,0.00726,145.73232,533.25089
1.0000,15.4150,2.000000,0.00766,152.12845,602.75125
1.0000,14.6710,2.050000,0.00868,172.88422,840.18859
1.0000,13.9630,2.100000,0.00912,174.49851,923.44176
1.0000,13.2880,2.150000,0.00959,175.74212,1018.45517
1.0000,12.6460,2.200000,0.01008,176.77915,1126.62098
1.0000,12.0330,2.250000,0.0106,177.80151,1250.24282
1.0000,11.4510,2.300000,0.01114,179.03977,1390.70478
1.0000,10.8960,2.350000,0.01171,180.61065,1550.9552
1.0000,10.3670,2.400000,0.01231,181.65804,1733.70307
1.0000,9.8640,2.450000,0.01294,182.41248,1941.56136
1.0000,9.3850,2.500000,0.0136,183.38253,2178.27463
1.0000,8.9290,2.550000,0.0143,185.04439,2447.72499
1.0000,8.4960,2.600000,0.01502,188.41303,2753.54398
1.0000,8.0830,2.650000,0.01719,225.12828,3330.90404
1.0000,7.6900,2.700000,0.01807,238.31669,3710.1917
1.0000,7.3160,2.750000,0.01899,254.18818,4141.85502
1.0000,6.9600,2.800000,0.01996,273.97588,4633.23232
1.0000,6.6210,2.850000,0.02098,297.70725,5192.81101
1.0000,6.2990,2.900000,0.02205,325.40234,5828.32643
1.0000,5.9920,2.950000,0.02318,357.87504,6552.72288
1.0000,5.7000,3.000000,0.02436,395.39562,7376.47972
1.1000,174.3000,-3.000000,0.02426,341.27052,6694.35195
1.1000,174.0080,-2.950000,0.02308,309.93455,5946.79436
1.1000,173.7010,-2.900000,0.02196,283.6309,5289.38591
1.1000,173.3790,-2.850000,0.02089,261.52156,4712.62437
1.1000,173.0400,-2.800000,0.01988,243.01045,4204.76824
1.1000,172.6840,-2.750000,0.01891,228.63311,3758.80174
1.1000,172.3100,-2.700000,0.01799,216.85926,3367.0253
1.1000,171.9170,-2.650000,0.01712,207.7655,3022.78123
1.1000,171.5040,-2.600000,0.01493,183.76274,2499.23628
1.1000,171.0710,-2.550000,0.01421,182.47997,2221.71096
1.1000,170.6150,-2.500000,0.01352,181.93488,1977.18504
1.1000,170.1360,-2.450000,0.01286,180.981,1762.36438
1.1000,169.6330,-2.400000,0.01223,179.70567,1573.72711
1.1000,169.1040,-2.350000,0.01164,177.91056,1407.87585
1.1000,168.5490,-2.300000,0.01107,176.35949,1262.43995
1.1000,167.9670,-2.250000,0.01053,175.05025,1134.96142
1.1000,167.3540,-2.200000,0.01002,173.50873,1022.76489
1.1000,166.7120,-2.150000,0.00953,171.81351,924.59454
1.1000,166.0370,-2.100000,0.00907,169.51666,838.3599
1.1000,165.3290,-2.050000,0.00863,166.95407,762.79768
1.1000,164.5850,-2.000000,0.00761,143.58792,546.96428
1.1000,163.8050,-1.950000,0.00722,135.87041,483.88657
1.1000,162.9870,-1.900000,0.00685,127.79648,428.31936
1.1000,162.1280,-1.850000,0.00656,122.92959,393.76566
1.1000,161.2280,-1.800000,0.0081,111.39726,349.38371
1.1000,160.2840,-1.750000,0.00739,104.82567,297.32526
1.1000,159.2940,-1.700000,0.00698,97.9945,263.81106
1.1000,158.2570,-1.650000,0.0066,91.59556,234.27974
1.1000,157.1710,-1.600000,0.00624,85.4403,208.25219
1.1000,156.0340,-1.550000,0.00813,78.60911,193.27203
1.1000,154.8430,-1.500000,0.00764,73.41311,172.19327
1.1000,153.5980,-1.450000,0.00719,68.62913,153.62388
1.1000,152.2950,-1.400000,0.00677,64.21841,137.23718
1.1000,150.9330,-1.350000,0.00637,60.15632,122.78781
1.1000,149.5110,-1.300000,0.006,56.41879,110.05357
1.1000,148.0250,-1.250000,0.00754,54.21726,96.94825
1.1000,146.4760,-1.200000,0.00704,50.98176,87.22274
1.1000,144.8610,-1.150000,0.00658,48.01218,78.64313
1.1000,143.1780,-1.100000,0.00615,45.28776,71.07139
1.1000,141.4260,-1.050000,0.00575,42.79093,64.38971
1.1000,139.6050,-1.000000,0.00539,40.50645,58.49597
1.1000,137.7130,-0.950000,0.00479,37.22167,54.3547
1.1000,135.7500,-0.900000,0.01771,41.13062,49.25287
1.1000,133.7150,-0.850000,0.00405,33.46336,45.54312
1.1000,131.6080,-0.800000,0.00398,31.84717,41.89426
1.1000,129.4310,-0.750000,0.00391,30.37262,38.67608
1.1000,127.1830,-0.700000,0.00386,29.02974,35.83775
1.1000,124.8670,-0.650000,0.0038,27.81163,33.33983
1.1000,122.4830,-0.600000,0.00375,26.71022,31.14439
1.1000,120.0340,-0.550000,0.0037,25.71949,29.22116
1.1000,117.5240,-0.500000,0.00366,24.834,27.54398
1.1000,114.9550,-0.450000,0.00362,24.04802,26.08856
1.1000,112.3310,-0.400000,0.00359,23.35695,24.83502
1.1000,109.6560,-0.350000,0.00356,22.75659,23.76609
1.1000,106.9370,-0.300000,0.00354,22.24376,22.86792
1.1000,104.1770,-0.250000,0.00351,21.81487,22.12743
1.1000,101.3840,-0.200000,0.0035,21.46762,21.5351
1.1000,98.5620,-0.150000,0.00348,21.19962,21.0824
1.1000,95.7200,-0.100000,0.00347,21.00943,20.76356
1.1000,92.8640,-0.050000,0.00347,20.89578,20.57404
1.1000,90.0000,0.000000,0.00347,20.85792,20.5053
1.1000,87.1360,0.050000,0.00347,20.89576,21.12392
1.1000,84.2800,0.100000,0.00347,21.0094,21.31592
1.1000,81.4380,0.150000,0.00348,21.19956,21.63895
1.1000,78.6160,0.200000,0.0035,21.46755,22.09754
1.1000,75.8230,0.250000,0.00351,21.81479,22.69746
1.1000,73.0630,0.300000,0.00354,22.24368,23.44723
1.1000,70.3440,0.350000,0.00356,22.75651,24.35636
1.1000,67.6690,0.400000,0.00359,23.35687,25.43793
1.1000,65.0450,0.450000,0.00362,24.04797,26.70574
1.1000,62.4760,0.500000,0.00366,24.83398,28.17702
1.1000,59.9660,0.550000,0.0037,25.71951,29.87158
1.1000,57.5170,0.600000,0.00375,26.71032,31.8136
1.1000,55.1330,0.650000,0.0038,27.81181,34.02909
1.1000,52.8170,0.700000,0.00386,29.03004,36.54806
1.1000,50.5690,0.750000,0.00392,30.37307,39.40818
1.1000,48.3920,0.800000,0.00398,31.84779,42.64853
1.1000,46.2850,0.850000,0.00405,33.46419,46.31955
1.1000,44.2500,0.900000,0.01771,41.1409,49.86434
1.1000,42.2870,0.950000,0.00479,37.22312,55.17327
1.1000,40.3950,1.000000,0.00538,40.50853,59.08938
1.1000,38.5740,1.050000,0.00575,42.79215,65.00631
1.1000,36.8220,1.100000,0.00614,45.28811,71.70917
1.1000,35.1390,1.150000,0.00657,48.01169,79.29998
1.1000,33.5240,1.200000,0.00703,50.98045,87.89653
1.1000,31.9750,1.250000,0.00753,54.21519,97.63695
1.1000,30.4890,1.300000,0.006,56.42215,110.96777
1.1000,29.0670,1.350000,0.00637,60.16012,123.71137
1.1000,27.7050,1.400000,0.00677,64.22262,138.16834
1.1000,26.4020,1.450000,0.00719,68.63371,154.56111
1.1000,25.1570,1.500000,0.00764,73.41802,173.13524
1.1000,23.9660,1.550000,0.00813,78.61433,194.21763
1.1000,22.8290,1.600000,0.00623,85.44364,209.75675
1.1000,21.7430,1.650000,0.0066,91.59658,235.79361
1.1000,20.7060,1.700000,0.00698,97.99485,265.3322
1.1000,19.7160,1.750000,0.00738,104.82558,298.85198
1.1000,18.7720,1.800000,0.0081,111.39844,350.01723
1.1000,17.8720,1.850000,0.00656,122.92797,394.01378
1.1000,17.0130,1.900000,0.00685,127.79913,428.46109
1.1000,16.1950,1.950000,0.00722,135.87201,484.03469
1.1000,15.4150,2.000000,0.00761,143.58652,547.11984
1.1000,14.6710,2.050000,0.00863,166.95407,762.79768
1.1000,13.9630,2.100000,0.00907,169.51666,838.3599
1.1000,13.2880,2.150000,0.00953,171.81351,924.59454
1.1000,12.6460,2.200000,0.01002,173.50873,1022.76489
1.1000,12.0330,2.250000,0.01053,175.05025,1134.96142
1.1000,11.4510,2.300000,0.01107,176.35949,1262.43995
1.1000,10.8960,2.350000,0.01164,177.91056,1407.87585
1.1000,10.3670,2.400000,0.01223,179.70567,1573.72711
1.1000,9.8640,2.450000,0.01286,180.981,1762.36438
1.1000,9.3850,2.500000,0.01352,181.93488,1977.18504
1.1000,8.9290,2.550000,0.01421,182.47997,2221.71096
1.1000,8.4960,2.600000,0.01493,183.76274,2499.23628
1.1000,8.0830,2.650000,0.01712,207.7655,3022.78123
1.1000,7.6900,2.700000,0.01799,216.85926,3367.0253
1.1000,7.3160,2.750000,0.01891,228.63311,3758.80174
1.1000,6.9600,2.800000,0.01988,243.01045,4204.76824
1.1000,6.6210,2.850000,0.02089,261.52156,4712.62437
1.1000,6.2990,2.900000,0.02196,283.6309,5289.38591
1.1000,5.9920,2.950000,0.02308,309.93455,5946.79436
1.1000,5.7000,3.000000,0.02426,341.27052,6694.35195
1.2000,174.3000,-3.000000,0.02419,299.99947,6128.61292
1.2000,174.0080,-2.950000,0.02301,274.38464,5444.23769
1.2000,173.7010,-2.900000,0.02189,253.40731,4842.38019
1.2000,173.3790,-2.850000,0.02083,235.89434,4314.34613
1.2000,173.0400,-2.800000,0.01982,222.37698,3849.38969
1.2000,172.6840,-2.750000,0.01885,211.62037,3441.09053
1.2000,172.3100,-2.700000,0.01794,203.40678,3082.40145
1.2000,171.9170,-2.650000,0.01706,197.59317,2767.22857
1.2000,171.5040,-2.600000,0.01486,182.10686,2288.25003
1.2000,171.0710,-2.550000,0.01414,181.52869,2034.19268
1.2000,170.6150,-2.500000,0.01345,180.55414,1810.3411
1.2000,170.1360,-2.450000,0.0128,179.13093,1613.68069
1.2000,169.6330,-2.400000,0.01217,177.08748,1440.98811
1.2000,169.1040,-2.350000,0.01158,175.24651,1289.1538
1.2000,168.5490,-2.300000,0.01102,173.46469,1156.00794
1.2000,167.9670,-2.250000,0.01048,171.48111,1039.30065
1.2000,167.3540,-2.200000,0.00997,169.05083,936.58292
1.2000,166.7120,-2.150000,0.00949,166.20757,846.70526
1.2000,166.0370,-2.100000,0.00902,163.15031,767.754
1.2000,165.3290,-2.050000,0.00859,160.23849,698.57271
1.2000,164.5850,-2.000000,0.00758,134.35788,500.8058
1.2000,163.8050,-1.950000,0.00719,126.20396,443.05051
1.2000,162.9870,-1.900000,0.00682,117.98026,392.17238
1.2000,162.1280,-1.850000,0.00665,108.9214,359.04281
1.2000,161.2280,-1.800000,0.00808,102.15685,319.86418
1.2000,160.2840,-1.750000,0.00737,96.59439,272.1941
1.2000,159.2940,-1.700000,0.00697,90.19699,241.51917
1.2000,158.2570,-1.650000,0.00659,84.06359,214.49117
1.2000,157.1710,-1.600000,0.00623,78.39432,190.67158
1.2000,156.0340,-1.550000,0.00813,72.16839,176.99412
1.2000,154.8430,-1.500000,0.00765,67.41843,157.70531
1.2000,153.5980,-1.450000,0.0072,63.0449,140.71435
1.2000,152.2950,-1.400000,0.00678,59.01225,125.72203
1.2000,150.9330,-1.350000,0.00639,55.29788,112.50349
1.2000,149.5110,-1.300000,0.00602,51.87973,100.85505
1.2000,148.0250,-1.250000,0.00761,49.91986,88.85765
1.2000,146.4760,-1.200000,0.00711,46.96349,79.96105
1.2000,144.8610,-1.150000,0.00666,44.24985,72.1124
1.2000,143.1780,-1.100000,0.00623,41.75997,65.18504
1.2000,141.4260,-1.050000,0.00584,39.47788,59.0709
1.2000,139.6050,-1.000000,0.00547,37.38972,53.67633
1.2000,137.7130,-0.950000,0.0048,34.25023,49.89239
1.2000,135.7500,-0.900000,0.01861,38.60234,45.2539
1.2000,133.7150,-0.850000,0.00405,30.79122,41.81766
1.2000,131.6080,-0.800000,0.00399,29.30577,38.47143
1.2000,129.4310,-0.750000,0.00392,27.95035,35.51886
1.2000,127.1830,-0.700000,0.00387,26.71591,32.91382
1.2000,124.8670,-0.650000,0.00381,25.59619,30.62055
1.2000,122.4830,-0.600000,0.00376,24.58382,28.60461
1.2000,120.0340,-0.550000,0.00372,23.67327,26.83847
1.2000,117.5240,-0.500000,0.00368,22.85958,25.29826
1.2000,114.9550,-0.450000,0.00364,22.13745,23.96177
1.2000,112.3310,-0.400000,0.00361,21.50262,22.8108
1.2000,109.6560,-0.350000,0.00358,20.95123,21.82947
1.2000,106.9370,-0.300000,0.00355,20.48031,21.00504
1.2000,104.1770,-0.250000,0.00353,20.08652,20.32546
1.2000,101.3840,-0.200000,0.00351,19.76776,19.78193
1.2000,98.5620,-0.150000,0.0035,19.52176,19.36659
1.2000,95.7200,-0.100000,0.00349,19.34722,19.07408
1.2000,92.8640,-0.050000,0.00349,19.24292,18.90022
1.2000,90.0000,0.000000,0.00348,19.20819,18.85973
1.2000,87.1360,0.050000,0.00349,19.2429,19.42662
1.2000,84.2800,0.100000,0.00349,19.34718,19.60292
1.2000,81.4380,0.150000,0.0035,19.5217,19.89955
1.2000,78.6160,0.200000,0.00351,19.76768,20.32069
1.2000,75.8230,0.250000,0.00353,20.08643,20.87166
1.2000,73.0630,0.300000,0.00355,20.4802,21.56036
1.2000,70.3440,0.350000,0.00358,20.95112,22.39555
1.2000,67.6690,0.400000,0.00361,21.50251,23.38929
1.2000,65.0450,0.450000,0.00364,22.13734,24.5543
1.2000,62.4760,0.500000,0.00368,22.85949,25.90643
1.2000,59.9660,0.550000,0.00372,23.67321,27.46386
1.2000,57.5170,0.600000,0.00376,24.5838,29.24872
1.2000,55.1330,0.650000,0.00381,25.59623,31.28475
1.2000,52.8170,0.700000,0.00387,26.71603,33.5993
1.2000,50.5690,0.750000,0.00393,27.95058,36.22661
1.2000,48.3920,0.800000,0.00399,29.30613,39.20208
1.2000,46.2850,0.850000,0.00405,30.79175,42.57149
1.2000,44.2500,0.900000,0.01861,38.61333,45.8137
1.2000,42.2870,0.950000,0.0048,34.25129,50.69119
1.2000,40.3950,1.000000,0.00546,37.39231,54.24553
1.2000,38.5740,1.050000,0.00583,39.4797,59.66558
1.2000,36.8220,1.100000,0.00622,41.76099,65.80323
1.2000,35.1390,1.150000,0.00665,44.25008,72.75192
1.2000,33.5240,1.200000,0.00711,46.96295,80.61964
1.2000,31.9750,1.250000,0.0076,49.91858,89.5331
1.2000,30.4890,1.300000,0.00602,51.88246,101.76103
1.2000,29.0670,1.350000,0.00639,55.30103,113.42054
1.2000,27.7050,1.400000,0.00678,59.0158,126.64815
1.2000,26.4020,1.450000,0.0072,63.04882,141.6478
1.2000,25.1570,1.500000,0.00765,67.42268,158.64457
1.2000,23.9660,1.550000,0.00813,72.17294,177.93791
1.2000,22.8290,1.600000,0.00622,78.39729,192.16701
1.2000,21.7430,1.650000,0.00658,84.06668,215.99789
1.2000,20.7060,1.700000,0.00696,90.1979,243.03482
1.2000,19.7160,1.750000,0.00736,96.59465,273.71671
1.2000,18.7720,1.800000,0.00808,102.15847,320.49715
1.2000,17.8720,1.850000,0.00665,108.92316,359.23747
1.2000,17.0130,1.900000,0.00682,117.98117,392.31489
1.2000,16.1950,1.950000,0.00719,126.20649,443.1995
1.2000,15.4150,2.000000,0.00758,134.35958,500.96232
1.2000,14.6710,2.050000,0.00859,160.23849,698.57271
1.2000,13.9630,2.100000,0.00902,163.15031,767.754
1.2000,13.2880,2.150000,0.00949,166.20757,846.70526
1.2000,12.6460,2.200000,0.00997,169.05083,936.58292
1.2000,12.0330,2.250000,0.01048,171.48111,1039.30065
1.2000,11.4510,2.300000,0.01102,173.46469,1156.00794
1.2000,10.8960,2.350000,0.01158,175.24651,1289.1538
1.2000,10.3670,2.400000,0.01217,177.08748,1440.98811
1.2000,9.8640,2.450000,0.0128,179.13093,1613.68069
1.2000,9.3850,2.500000,0.01345,180.55414,1810.3411
1.2000,8.9290,2.550000,0.01414,181.52869,2034.19268
1.2000,8.4960,2.600000,0.01486,182.10686,2288.25003
1.2000,8.0830,2.650000,0.01706,197.59317,2767.22857
1.2000,7.6900,2.700000,0.01794,203.40678,3082.40145
1.2000,7.3160,2.750000,0.01885,211.62037,3441.09053
1.2000,6.9600,2.800000,0.01982,222.37698,3849.38969
1.2000,6.6210,2.850000,0.02083,235.89434,4314.34613
1.2000,6.2990,2.900000,0.02189,253.40731,4842.38019
1.2000,5.9920,2.950000,0.02301,274.38464,5444.23769
1.2000,5.7000,3.000000,0.02419,299.99947,6128.61292
1.3000,174.3000,-3.000000,0.02413,269.06465,5651.65221
1.3000,174.0080,-2.950000,0.02296,248.52564,5020.53726
1.3000,173.7010,-2.900000,0.02184,231.79805,4465.51083
1.3000,173.3790,-2.850000,0.02078,218.43578,3978.55831
1.3000,173.0400,-2.800000,0.01977,208.41906,3549.77224
1.3000,172.6840,-2.750000,0.01881,200.8295,3173.23343
1.3000,172.3100,-2.700000,0.01789,195.55249,2842.44414
1.3000,171.9170,-2.650000,0.01702,191.67289,2551.78538
1.3000,171.5040,-2.600000,0.01481,181.11871,2110.33342
1.3000,171.0710,-2.550000,0.01409,180.11246,1876.06213
1.3000,170.6150,-2.500000,0.0134,178.6235,1669.64189
1.3000,170.1360,-2.450000,0.01275,176.42179,1488.29357
1.3000,169.6330,-2.400000,0.01213,174.13802,1329.04537
1.3000,169.1040,-2.350000,0.01154,171.97997,1189.03026
1.3000,168.5490,-2.300000,0.01098,169.46543,1066.24768
1.3000,167.9670,-2.250000,0.01044,166.61788,958.62314
1.3000,167.3540,-2.200000,0.00993,163.5373,863.89843
1.3000,166.7120,-2.150000,0.00945,160.09996,781.01369
1.3000,166.0370,-2.100000,0.00899,156.74745,708.20429
1.3000,165.3290,-2.050000,0.00855,153.59189,644.40389
1.3000,164.5850,-2.000000,0.00755,125.44172,461.88056
1.3000,163.8050,-1.950000,0.00716,117.20506,408.6134
1.3000,162.9870,-1.900000,0.0068,109.34732,361.68941
1.3000,162.1280,-1.850000,0.00736,102.45369,325.5014
1.3000,161.2280,-1.800000,0.00806,94.22952,294.96899
1.3000,160.2840,-1.750000,0.00735,89.47667,251.00464
1.3000,159.2940,-1.700000,0.00695,83.34056,222.72458
1.3000,158.2570,-1.650000,0.00658,77.67933,197.80822
1.3000,157.1710,-1.600000,0.00622,72.45633,175.8512
1.3000,156.0340,-1.550000,0.00814,66.74155,163.2718
1.3000,154.8430,-1.500000,0.00766,62.36676,145.49296
1.3000,153.5980,-1.450000,0.00721,58.33826,129.8335
1.3000,152.2950,-1.400000,0.00679,54.62321,116.01732
1.3000,150.9330,-1.350000,0.0064,51.20075,103.83684
1.3000,149.5110,-1.300000,0.00604,48.05054,93.1039
1.3000,148.0250,-1.250000,0.00768,46.29937,82.03945
1.3000,146.4760,-1.200000,0.00719,43.57692,73.84119
1.3000,144.8610,-1.150000,0.00673,41.0776,66.60803
1.3000,143.1780,-1.100000,0.00631,38.78398,60.22292
1.3000,141.4260,-1.050000,0.00592,36.68145,54.58606
1.3000,139.6050,-1.000000,0.00556,34.75733,49.61106
1.3000,137.7130,-0.950000,0.00481,31.7353,46.12648
1.3000,135.7500,-0.900000,0.01954,36.5296,41.8781
1.3000,133.7150,-0.850000,0.00406,28.52906,38.67066
